Peak Name|Rank|Genomic location|Peak region|GISTIC q-value|Gene count|Target(s)|Frequently mutated genesB
NF1|26|17q11.2|chr17:29326736-29722618|6,59E-23|5|NF1K|NF1 = 3.3e-13
MACROD2|27|20p12.1|chr20:14302876-16036135|9,00E-19|3|MACROD2L|
7p22.3|28|7p22.3T|chr7:1-1496620|1,04E-17|18||
6p25.3|29|6p25.3|chr6:1608837-2252425|3,01E-17|2||
21q11.2|30|21q11.2T|chr21:1-15482604|2,34E-14|14||
9p13.1|31|9p13.1|chr9:38619152-71152237|9,75E-14|48||
ZNF132|32|19q13.43T|chr19:58661582-59128983|3,77E-13|24|TRIM28E, ZNF132|
5q15|33|5q15|chr5:73236070-114508587|8,15E-13|156|APCK, CHD1E|APC=2.6e-13, RASA1=0.0029
MLL3|34|7q36.1|chr7:151817415-152136074|9,26E-13|1|MLL3K,E|MLL3 = 1.1e-05
19q13.32|35|19q13.32|chr19:47332686-47763284|2,38E-12|10||
15q12|36|15q12T|chr15:1-32929863|3,40E-11|155||OTUD7A = 0.027
12q24.33|37|12q24.33T|chr12:131692956-133851895|1,24E-10|27||POLE=3.9e-05, PGAM5=0.038
10q26.3|38|10q26.3T|chr10:135190263-135534747|2,09E-10|14||
6q21|39|6q21|chr6:86319089-117076132|4,56E-10|141|PRDM1E, HDAC2E, PRDM13E|PRDM1 = 0.00054
PPP2R2A|40|8p21.2|chr8:25896447-26250295|1,78E-09|1|PPP2R2A|
IKZF2|41|2q34|chr2:211542637-214143899|3,24E-09|4|IKZF2K, ERBB4L|ERBB4 = 0.00058
CNTN4|42|3p26.3T|chr3:1-3100786|6,44E-09|3|CNTN4L|
3p12.2|43|3p12.2|chr3:75363575-86988125|1,22E-07|12|ROBO1L, CADM2L|
RAD51B|44|14q24.1|chr14:68275375-69288431|1,38E-07|2|RAD51BL|ZFP36L1 = 0.0016
11q23.1|45|11q23.1|chr11:105849158-117024891|5,31E-07|84|ATMK|ATM=1.4e-06, POU2AF1=0.082
IMMP2L|46|7q31.1|chr7:109599468-111366370|5,74E-07|2|IMMP2LL|
NEGR1|47|1p31.1|chr1:71699756-74522473|7,25E-07|2|NEGR1L|
BRCA1|48|17q21.31|chr17:41178765-41336147|7,25E-07|2|BRCA1K|BRCA1 = 3.5e-08
9q34.3|49|9q34.3|chr9:135441810-139646221|8,73E-06|94|NOTCH1K, BRD3E, GTF3C4E|NOTCH1=1e-08, RXRA=2.1e-05, COL5A1=0.0022, TSC1=0.012
ANKS1B|50|12q23.1|chr12:99124001-100431272|8,73E-06|2|ANKS1BL|
DMD|51|Xp21.2|chrX:30865118-34644819|5,15E-05|4|DMDL|
ZMYND11|52|10p15.3T|chr10:1-857150|7,12E-05|4|ZMYND11E|
PRKG1|53|10q11.23|chr10:52644085-54061437|9,79E-05|3|PRKG1L|
FOXK2|54|17q25.3|chr17:80443432-80574531|0,00019271|1|FOXK2|
AGBL4|55|1p33|chr1:48935280-50514967|0,000219|2|AGBL4L|
CDKN1B|56|12p13.1|chr12:12710990-12966966|0,00035777|5|CDKN1BK|CDKN1B = 2.2e-06
14q32.33|57|14q32.33T|chr14:94381429-107349540|0,00074358|227|SETD3E, TDRD9E|AKT1=2.1e-13, TRAF3=9.7e-05
14q11.2|58|14q11.2T|chr14:1-30047530|0,0010181|162|PRMT5E, CHD8E|CHD8 = 0.034
2p25.3|59|2p25.3T|chr2:1-20072169|0,0011137|86|MYCNK|MYCN=0.068
5q35.3|60|5q35.3T|chr5:153840473-180915260|0,0028515|212|NSD1E, ODZ2L|NPM1=3.5e-13, NSD1=1.9e-09, ZNF454=0.0019, UBLCP1=0.03, GABRB2=0.07
PTTG1IP|61|21q22.3|chr21:46230687-46306160|0,012227|1|PTTG1IP|
22q11.1|62|22q11.1T|chr22:1-17960585|0,020332|15||
SMAD4|63|18q21.2|chr18:48472083-48920689|0,036866|3|SMAD4K|SMAD4 = 6.6e-15
17p13.3|64|17p13.3T|chr17:1-1180022|0,040814|16||
4p16.3|65|4p16.3T|chr4:1-1243876|0,056345|27||
9p21.2|66|9p21.2|chr9:27572512-28982153|0,091742|3||
10q25.1|67|10q25.1|chr10:99340084-113910615|0,11879|137|HPSE2L, SMNDC1E|SMC3=0.00031, GSTO2=0.086
SMYD3|68|1q44|chr1:245282267-247110824|0,15417|8|SMYD3E|
8p11.21|69|8p11.21|chr8:42883855-47753079|0,17382|4||
Xp22.33|70|Xp22.33T|chrX:1-11137490|0,21462|52||MXRA5 = 0.031
